Table 2.4 Production and productivity of major crops in Punjab,,,,,,,,,,,,,,,,,,,,,,,
S N,Districts,Kharif,,,,,,Rabi,,,,,,,,,,,,,,,
,,Paddy,,,Maize,,,Wheat,,,Gram,,,Potato,,,Sugarcane,,,Oilseed,,,
,,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,
1,Gurdaspur,173,452,2.613,1,3,2.967,187,627,3.356,0,0,0,0.7,16.4,23.285,24,152,6.332,2,2.1,1.061,
2,Pathankot,29,72,2.477,8,18,2.310,42,115,2.727,0,0,0,0.7,16.4,23.174,4,21,5.219,1,1.1,1.112,
3,Amritsar,182,505,2.776,1,4,3.418,188,736,3.914,0,0,0,6.8,173,25.503,4,25,6.216,1,1,1.017,
4,Tarantaran,176,540,3.066,0,0,0,188,777,4.132,0,0,0,1.7,43.1,24.177,0,0,0,0,0,0,
5,Kapurthala,117,439,3.752,3,11,3.789,110,440,3.996,0,0,0,9,235.7,25.466,4,26,6.452,1,1.5,1.494,
6,Jalandhar,167,616,3.690,8,29,3.674,167,685,4.102,0,0,0,20.4,528.0,25.854,11,68,6.198,1,1.3,1.335,
7,SBS Nagar,57,226,3.963,10,44,4.384,76,282,3.712,0,0,0,2.4,40.0,22.546,6,33,5.444,1,1.2,1.207,
8,Hoshiarpur,71,244,3.434,59,222,3.769,150,543,3.623,0,0,0,12.6,31.0,24.604,22,125,5.689,4,4.4,1.082,
9,Rupnagar,36,129,3.605,20,58,2.887,66,266,4.032,0.1,0.1,1.085,0.8,20.2,23.444,3,20,6.543,2,2.2,1.131,
10,SAS Nagar,29,94,3.262,8,30,3.692,50,198,3.959,0.1,0.1,0.837,1.2,29.8,24.476,3,5,5.286,1,1,1.018,
11,Ludhiana,257,1119,4.354,3,21,6.952,253,1129,4.462,0,0,0,10.0,256.0,25.603,1,21,7.114,1,1.5,1.421,
12,Ferozepur,189,733,3.880,0,0,0,188,877,4.668,0.9,1.0,1.068,0.5,12.3,23.814,3,0,0,0,0,0,
13,Fazilka,97,297,3.061,0,0,0,206,913,4.434,0,0,0,0.5,1.7,23.744,0,12,6.186,5,6.9,1.388,
14,Faridkot,106,421,3.972,0,0,0,116,558,4.807,0,0,0,0.2,4.6,22.563,2,0,0,0,0,0,
15,Sri Muktsar Sahib,135,514,3.812,0,0,0,208,907,4.362,0.1,0.1,1.076,0.1,4.0,22.546,0,0,0,1,1.2,1.199,
16,Moga,177,815,4.603,0,0,0,175,794,4.536,0.1,0.1,1.085,6,157.0,25.474,0,0,0,1,1.1,1.188,
17,Bathinda,119,529,4.444,1,4,3.652,254,1218,4.797,0.2,0.2,1.052,5,133.7,24.461,0,0,0,2,2.7,1.329,
18,Mansa,82,296,3.610,0,0,0,166,742,4.472,0.1,0.1,1.085,0.1,3.4,22.704,0,0,0,2,2.1,1.059,
19,Sangrur,271,1281,4.726,2,7,3.652,284,1366,4.809,0.1,0.1,1.428,0.6,15.3,24.276,3,22,7.286,2,2.8,1.414,
20,Barnala,108,507,4.695,0,0,0,114,527,4.625,0.1,0.1,0.988,1.7,28.9,22.874,1,7,7.190,1,1.3,1.162,
21,Patiala,230,904,3.930,1,5,5.447,233,1048,4.496,0,0,0,4.0,106.4,24.684,3,22,7.426,1,1.7,1.685,
22,"Fatehgarh
Sahib",86,374,4.349,1,4,3.652,84,340,4.049,0,0,0,4.4,111.6,24.901,3,22,7.283,1,1.6,1.562,
,PUNJAB,2894,11107,3.731,126,460,2.466,3505,15088,4.185,1.8,1.9,0.441,89.4,1968.5,24.099,97,581,4.357,31,38.7,1.085,
"1        Area (‘000 ha)
2        Production (‘000 t)
3        Yield (t/ha)",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
