District,Paddy_Area,Paddy_Prod,Paddy_Yield,Maize_Area,Maize_Prod,Maize_Yield,Wheat_Area,Wheat_Prod,Wheat_Yield,Gram_Area,Gram_Prod,Gram_Yield,Potato_Area,Potato_Prod,Potato_Yield,Sugarcane_Area,Sugarcane_Prod,Sugarcane_Yield,Oilseed_Area,Oilseed_Prod,Oilseed_Yield,Monsoon season recharge from rainfall,Monsoon season recharge from other sources,Non-monsoon season recharge from rainfall,Non-monsoon season recharge from other sources,Total annual groundwater recharge,Total Natural Discharges,Annual Extractable Groundwater Resource,Irrigation - Annual extraction,Industrial - Annual extraction,Domestic - Annual Extraction,Total Annual Extraction,Annual GW Allocation for domestic use (2025),Net GW availability for future,Stage of GW extraction (%),Mean_Rainfall,Std_Rainfall,Min_Rainfall,Max_Rainfall
Amritsar,182.0,505.0,2.776,1.0,4.0,3.418,188.0,736.0,3.914,0.0,0.0,0.0,6.8,173.0,25.503,4.0,25.0,6.216,1.0,1.0,1.017,29515.8,81945.51,5345.17,32121.57,148928.05,14892.8,134035.25,233296.81,398.12,6360.0,240054.9,6453.16,0.0,179.1,543.1895833333333,210.07252368725744,207.9,1233.2
Barnala,108.0,507.0,4.695,0.0,0.0,0.0,114.0,527.0,4.625,0.1,0.1,0.988,1.7,28.9,22.874,1.0,7.0,7.19,1.0,1.3,1.162,12217.41,25792.04,1268.74,15836.24,55114.43,5511.44,49602.99,106690.63,43.94,2502.94,109237.5,2539.61,0.0,220.22,341.62,160.5147532160206,2.0,572.3
Bathinda,119.0,529.0,4.444,1.0,4.0,3.652,254.0,1218.0,4.797,0.2,0.2,1.052,5.0,133.7,24.461,0.0,0.0,0.0,2.0,2.7,1.329,19385.22,68071.65,3376.47,38062.27,128895.61,11959.88,116935.73,129804.84,217.28,5829.6,135851.7,5915.0,14368.03,116.18,305.59791666666666,134.22675239830977,42.5,602.0
Faridkot,106.0,421.0,3.972,0.0,0.0,0.0,116.0,558.0,4.807,0.0,0.0,0.0,0.2,4.6,22.563,2.0,0.0,0.0,0.0,0.0,0.0,10967.74,42939.14,1224.4,19426.54,74557.82,7455.79,67102.03,96187.46,58.79,2594.08,98840.32,2632.09,0.0,147.3,418.70000000000005,150.70256914806092,9.0,796.9
Fatehgarh Sahib,119.0,505.0,3.752,1.0,4.0,2.967,175.0,736.0,4.362,0.0,0.0,0.0,1.7,29.8,24.177,3.0,20.0,5.689,1.0,1.3,1.162,14087.15,14779.76,1670.85,8248.94,38786.7,3605.52,35181.18,68841.35,1500.89,2517.72,72859.97,2554.59,0.0,207.1,505.04482758620685,230.81936596488933,155.0,1043.5
Fazilka,97.0,297.0,3.061,0.0,0.0,0.0,206.0,913.0,4.434,0.0,0.0,0.0,0.5,1.7,23.744,0.0,12.0,6.186,5.0,6.9,1.388,7125.66,45265.25,918.47,23218.28,76527.66,7652.77,68874.89,48465.92,44.13,5044.29,53554.35,5118.19,30418.11,77.76,524.11720545977,213.5354611443233,42.15,1020.45
Ferozepur,189.0,733.0,3.88,0.0,0.0,0.0,188.0,877.0,4.668,0.9,1.0,1.068,0.5,12.3,23.814,3.0,0.0,0.0,0.0,0.0,0.0,19238.34,87216.71,2576.72,42879.4,151911.17,15191.12,136720.05,183088.66,39.36,3463.31,186591.3,3514.05,229.32,136.48,311.25208333333336,198.51617436604275,29.8,956.2
Gurdaspur,173.0,452.0,2.613,1.0,3.0,2.967,187.0,627.0,3.356,0.0,0.0,0.0,0.7,16.4,23.285,24.0,152.0,6.332,2.0,2.1,1.061,35358.06,88947.85,6344.47,35539.47,166189.85,16480.41,149709.44,199684.85,59.39,7035.43,206779.7,7138.49,1915.31,138.12,949.9458333333333,239.08199960570218,499.1,1487.4
Hoshiarpur,71.0,244.0,3.434,59.0,222.0,3.769,150.0,543.0,3.623,0.0,0.0,0.0,12.6,31.0,24.604,22.0,125.0,5.689,4.0,4.4,1.082,44796.07,21335.58,7725.46,10658.63,84515.74,8073.65,76442.09,79264.64,91.68,6643.76,86000.08,6741.1,11050.47,112.5,752.5124999999999,269.4249223375516,360.9,1958.2
Jalandhar,167.0,616.0,3.69,8.0,29.0,3.674,167.0,685.0,4.102,0.0,0.0,0.0,20.4,528.0,25.854,11.0,68.0,6.198,1.0,1.3,1.335,28762.31,30618.08,4285.85,15483.1,79149.34,7914.95,71234.39,166646.11,870.91,13445.17,180962.2,13642.14,0.0,254.04,634.5958333333333,303.937835160159,55.9,1539.8
